# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.005         	1.004270e-02	-3.268499e+01	3.269503e+01	6.538002e+01	-1.312352e+03	1.377732e+03	-1.345042e+03	-3.269001e+01	5.021351e-03	2.046297e-17	5.021351e-03	-5.021351e-03
0.01          	9.739914e-03	-3.268543e+01	3.269517e+01	6.538059e+01	-1.312373e+03	1.377754e+03	-1.345063e+03	-3.269030e+01	4.869957e-03	2.046317e-17	4.869957e-03	-4.869957e-03
0.015         	9.779297e-03	-3.268555e+01	3.269532e+01	6.538087e+01	-1.312378e+03	1.377758e+03	-1.345068e+03	-3.269043e+01	4.889648e-03	2.046328e-17	4.889648e-03	-4.889648e-03
0.02          	1.019422e-02	-3.268544e+01	3.269564e+01	6.538108e+01	-1.312370e+03	1.377751e+03	-1.345060e+03	-3.269054e+01	5.097110e-03	2.046335e-17	5.097110e-03	-5.097110e-03
0.025         	1.039714e-02	-3.268553e+01	3.269593e+01	6.538147e+01	-1.312372e+03	1.377753e+03	-1.345062e+03	-3.269073e+01	5.198568e-03	2.046349e-17	5.198568e-03	-5.198568e-03
0.03          	1.069702e-02	-3.268556e+01	3.269626e+01	6.538182e+01	-1.312370e+03	1.377752e+03	-1.345061e+03	-3.269091e+01	5.348511e-03	2.046361e-17	5.348511e-03	-5.348511e-03
0.035         	1.106069e-02	-3.268562e+01	3.269668e+01	6.538230e+01	-1.312369e+03	1.377751e+03	-1.345060e+03	-3.269115e+01	5.530343e-03	2.046377e-17	5.530343e-03	-5.530343e-03
0.04          	1.144207e-02	-3.268547e+01	3.269692e+01	6.538239e+01	-1.312359e+03	1.377742e+03	-1.345050e+03	-3.269119e+01	5.721037e-03	2.046381e-17	5.721037e-03	-5.721037e-03
0.045         	1.184327e-02	-3.268536e+01	3.269721e+01	6.538257e+01	-1.312351e+03	1.377733e+03	-1.345042e+03	-3.269128e+01	5.921634e-03	2.046388e-17	5.921634e-03	-5.921634e-03
0.05          	1.224408e-02	-3.268522e+01	3.269747e+01	6.538269e+01	-1.312341e+03	1.377724e+03	-1.345033e+03	-3.269134e+01	6.122040e-03	2.046392e-17	6.122040e-03	-6.122040e-03
0.055         	1.263385e-02	-3.268506e+01	3.269769e+01	6.538275e+01	-1.312331e+03	1.377714e+03	-1.345022e+03	-3.269137e+01	6.316925e-03	2.046395e-17	6.316925e-03	-6.316925e-03
0.06          	1.294079e-02	-3.268511e+01	3.269805e+01	6.538315e+01	-1.312330e+03	1.377713e+03	-1.345021e+03	-3.269158e+01	6.470397e-03	2.046409e-17	6.470397e-03	-6.470397e-03
0.065         	1.347359e-02	-3.268481e+01	3.269828e+01	6.538308e+01	-1.312313e+03	1.377696e+03	-1.345004e+03	-3.269154e+01	6.736797e-03	2.046407e-17	6.736797e-03	-6.736797e-03
0.07          	1.381960e-02	-3.268469e+01	3.269851e+01	6.538321e+01	-1.312305e+03	1.377688e+03	-1.344996e+03	-3.269160e+01	6.909798e-03	2.046412e-17	6.909798e-03	-6.909798e-03
0.075         	1.414720e-02	-3.268456e+01	3.269870e+01	6.538326e+01	-1.312296e+03	1.377679e+03	-1.344988e+03	-3.269163e+01	7.073602e-03	2.046414e-17	7.073602e-03	-7.073602e-03
0.08          	1.445085e-02	-3.268443e+01	3.269888e+01	6.538331e+01	-1.312288e+03	1.377671e+03	-1.344980e+03	-3.269166e+01	7.225426e-03	2.046416e-17	7.225426e-03	-7.225426e-03
0.085         	1.472903e-02	-3.268432e+01	3.269905e+01	6.538337e+01	-1.312281e+03	1.377664e+03	-1.344973e+03	-3.269169e+01	7.364516e-03	2.046419e-17	7.364516e-03	-7.364516e-03
0.09          	1.498032e-02	-3.268422e+01	3.269920e+01	6.538343e+01	-1.312275e+03	1.377658e+03	-1.344966e+03	-3.269171e+01	7.490161e-03	2.046421e-17	7.490161e-03	-7.490161e-03
0.095         	1.520527e-02	-3.268413e+01	3.269934e+01	6.538347e+01	-1.312269e+03	1.377652e+03	-1.344961e+03	-3.269173e+01	7.602633e-03	2.046423e-17	7.602633e-03	-7.602633e-03
0.1           	1.540435e-02	-3.268407e+01	3.269948e+01	6.538355e+01	-1.312265e+03	1.377648e+03	-1.344956e+03	-3.269177e+01	7.702176e-03	2.046426e-17	7.702176e-03	-7.702176e-03
0.105         	1.558035e-02	-3.268400e+01	3.269958e+01	6.538358e+01	-1.312260e+03	1.377643e+03	-1.344952e+03	-3.269179e+01	7.790177e-03	2.046427e-17	7.790177e-03	-7.790177e-03
0.11          	1.574879e-02	-3.268395e+01	3.269970e+01	6.538364e+01	-1.312256e+03	1.377640e+03	-1.344948e+03	-3.269182e+01	7.874394e-03	2.046430e-17	7.874394e-03	-7.874394e-03
0.115         	1.588683e-02	-3.268391e+01	3.269979e+01	6.538370e+01	-1.312253e+03	1.377637e+03	-1.344945e+03	-3.269185e+01	7.943414e-03	2.046432e-17	7.943414e-03	-7.943414e-03
0.12          	1.600966e-02	-3.268387e+01	3.269988e+01	6.538374e+01	-1.312250e+03	1.377634e+03	-1.344942e+03	-3.269187e+01	8.004829e-03	2.046433e-17	8.004829e-03	-8.004829e-03
0.125         	1.611867e-02	-3.268385e+01	3.269997e+01	6.538381e+01	-1.312249e+03	1.377632e+03	-1.344941e+03	-3.269191e+01	8.059335e-03	2.046436e-17	8.059335e-03	-8.059335e-03
0.13          	1.621310e-02	-3.268383e+01	3.270004e+01	6.538387e+01	-1.312247e+03	1.377631e+03	-1.344939e+03	-3.269194e+01	8.106550e-03	2.046438e-17	8.106550e-03	-8.106550e-03
0.135         	1.629617e-02	-3.268381e+01	3.270010e+01	6.538391e+01	-1.312245e+03	1.377629e+03	-1.344937e+03	-3.269196e+01	8.148086e-03	2.046439e-17	8.148086e-03	-8.148086e-03
0.14          	1.636765e-02	-3.268380e+01	3.270017e+01	6.538397e+01	-1.312244e+03	1.377628e+03	-1.344936e+03	-3.269199e+01	8.183824e-03	2.046441e-17	8.183824e-03	-8.183824e-03
0.145         	1.642259e-02	-3.268374e+01	3.270017e+01	6.538391e+01	-1.312242e+03	1.377626e+03	-1.344934e+03	-3.269196e+01	8.211293e-03	2.046440e-17	8.211293e-03	-8.211293e-03
0.15          	1.647244e-02	-3.268375e+01	3.270022e+01	6.538397e+01	-1.312241e+03	1.377625e+03	-1.344933e+03	-3.269199e+01	8.236222e-03	2.046442e-17	8.236222e-03	-8.236222e-03
0.155         	1.651703e-02	-3.268374e+01	3.270026e+01	6.538400e+01	-1.312241e+03	1.377625e+03	-1.344933e+03	-3.269200e+01	8.258515e-03	2.046443e-17	8.258515e-03	-8.258515e-03
0.16          	1.655477e-02	-3.268375e+01	3.270030e+01	6.538405e+01	-1.312240e+03	1.377624e+03	-1.344932e+03	-3.269202e+01	8.277385e-03	2.046444e-17	8.277385e-03	-8.277385e-03
0.165         	1.658370e-02	-3.268376e+01	3.270034e+01	6.538410e+01	-1.312241e+03	1.377625e+03	-1.344933e+03	-3.269205e+01	8.291849e-03	2.046446e-17	8.291849e-03	-8.291849e-03
0.17          	1.660829e-02	-3.268373e+01	3.270034e+01	6.538407e+01	-1.312239e+03	1.377623e+03	-1.344931e+03	-3.269203e+01	8.304143e-03	2.046445e-17	8.304143e-03	-8.304143e-03
0.175         	1.662193e-02	-3.268375e+01	3.270037e+01	6.538413e+01	-1.312240e+03	1.377624e+03	-1.344932e+03	-3.269206e+01	8.310967e-03	2.046447e-17	8.310967e-03	-8.310967e-03
0.18          	1.663260e-02	-3.268381e+01	3.270044e+01	6.538426e+01	-1.312242e+03	1.377627e+03	-1.344935e+03	-3.269213e+01	8.316302e-03	2.046451e-17	8.316302e-03	-8.316302e-03
0.185         	1.663359e-02	-3.268377e+01	3.270041e+01	6.538418e+01	-1.312241e+03	1.377625e+03	-1.344933e+03	-3.269209e+01	8.316794e-03	2.046449e-17	8.316794e-03	-8.316794e-03
0.19          	1.663317e-02	-3.268379e+01	3.270042e+01	6.538421e+01	-1.312241e+03	1.377626e+03	-1.344934e+03	-3.269210e+01	8.316583e-03	2.046450e-17	8.316583e-03	-8.316583e-03
0.195         	1.662773e-02	-3.268381e+01	3.270043e+01	6.538424e+01	-1.312242e+03	1.377627e+03	-1.344934e+03	-3.269212e+01	8.313867e-03	2.046451e-17	8.313867e-03	-8.313867e-03
0.2           	1.661804e-02	-3.268382e+01	3.270044e+01	6.538427e+01	-1.312243e+03	1.377627e+03	-1.344935e+03	-3.269213e+01	8.309018e-03	2.046452e-17	8.309018e-03	-8.309018e-03
0.205         	1.660442e-02	-3.268384e+01	3.270044e+01	6.538428e+01	-1.312244e+03	1.377628e+03	-1.344936e+03	-3.269214e+01	8.302208e-03	2.046453e-17	8.302208e-03	-8.302208e-03
0.21          	1.657972e-02	-3.268391e+01	3.270049e+01	6.538439e+01	-1.312247e+03	1.377631e+03	-1.344939e+03	-3.269220e+01	8.289860e-03	2.046456e-17	8.289860e-03	-8.289860e-03
0.215         	1.658826e-02	-3.268392e+01	3.270051e+01	6.538443e+01	-1.312247e+03	1.377632e+03	-1.344940e+03	-3.269222e+01	8.294130e-03	2.046458e-17	8.294130e-03	-8.294130e-03
0.22          	1.657907e-02	-3.268393e+01	3.270051e+01	6.538444e+01	-1.312248e+03	1.377632e+03	-1.344940e+03	-3.269222e+01	8.289535e-03	2.046458e-17	8.289535e-03	-8.289535e-03
0.225         	1.656001e-02	-3.268395e+01	3.270051e+01	6.538447e+01	-1.312249e+03	1.377633e+03	-1.344941e+03	-3.269223e+01	8.280007e-03	2.046459e-17	8.280007e-03	-8.280007e-03
0.23          	1.653621e-02	-3.268396e+01	3.270049e+01	6.538445e+01	-1.312249e+03	1.377634e+03	-1.344942e+03	-3.269223e+01	8.268105e-03	2.046458e-17	8.268105e-03	-8.268105e-03
0.235         	1.650756e-02	-3.268397e+01	3.270048e+01	6.538444e+01	-1.312250e+03	1.377635e+03	-1.344942e+03	-3.269222e+01	8.253779e-03	2.046458e-17	8.253779e-03	-8.253779e-03
0.24          	1.647851e-02	-3.268398e+01	3.270046e+01	6.538445e+01	-1.312251e+03	1.377635e+03	-1.344943e+03	-3.269222e+01	8.239255e-03	2.046458e-17	8.239255e-03	-8.239255e-03
0.245         	1.644350e-02	-3.268402e+01	3.270046e+01	6.538448e+01	-1.312253e+03	1.377637e+03	-1.344945e+03	-3.269224e+01	8.221749e-03	2.046459e-17	8.221749e-03	-8.221749e-03
0.25          	1.639349e-02	-3.268405e+01	3.270044e+01	6.538449e+01	-1.312254e+03	1.377639e+03	-1.344947e+03	-3.269225e+01	8.196747e-03	2.046460e-17	8.196747e-03	-8.196747e-03
0.255         	1.635754e-02	-3.268408e+01	3.270043e+01	6.538451e+01	-1.312256e+03	1.377640e+03	-1.344948e+03	-3.269226e+01	8.178772e-03	2.046460e-17	8.178772e-03	-8.178772e-03
0.26          	1.631953e-02	-3.268412e+01	3.270044e+01	6.538455e+01	-1.312258e+03	1.377643e+03	-1.344950e+03	-3.269228e+01	8.159767e-03	2.046462e-17	8.159767e-03	-8.159767e-03
