# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.005         	4.556938e-03	-3.268836e+01	3.269292e+01	6.538127e+01	-1.312544e+03	1.377925e+03	-1.345235e+03	-3.269064e+01	2.278469e-03	2.046366e-17	2.278469e-03	-2.278469e-03
0.01          	4.248995e-03	-3.268857e+01	3.269282e+01	6.538140e+01	-1.312556e+03	1.377937e+03	-1.345247e+03	-3.269070e+01	2.124498e-03	2.046372e-17	2.124498e-03	-2.124498e-03
0.015         	4.156318e-03	-3.268866e+01	3.269282e+01	6.538148e+01	-1.312560e+03	1.377942e+03	-1.345251e+03	-3.269074e+01	2.078159e-03	2.046375e-17	2.078159e-03	-2.078159e-03
0.02          	4.065210e-03	-3.268901e+01	3.269307e+01	6.538208e+01	-1.312575e+03	1.377957e+03	-1.345266e+03	-3.269104e+01	2.032605e-03	2.046393e-17	2.032605e-03	-2.032605e-03
0.025         	4.031054e-03	-3.268901e+01	3.269304e+01	6.538206e+01	-1.312576e+03	1.377958e+03	-1.345267e+03	-3.269103e+01	2.015527e-03	2.046393e-17	2.015527e-03	-2.015527e-03
0.03          	4.035949e-03	-3.268914e+01	3.269317e+01	6.538231e+01	-1.312581e+03	1.377963e+03	-1.345272e+03	-3.269115e+01	2.017974e-03	2.046401e-17	2.017974e-03	-2.017974e-03
0.035         	4.029521e-03	-3.268927e+01	3.269330e+01	6.538257e+01	-1.312586e+03	1.377969e+03	-1.345278e+03	-3.269129e+01	2.014761e-03	2.046409e-17	2.014761e-03	-2.014761e-03
0.04          	4.044252e-03	-3.268937e+01	3.269341e+01	6.538278e+01	-1.312590e+03	1.377973e+03	-1.345281e+03	-3.269139e+01	2.022126e-03	2.046416e-17	2.022126e-03	-2.022126e-03
0.045         	4.072721e-03	-3.268942e+01	3.269349e+01	6.538291e+01	-1.312592e+03	1.377975e+03	-1.345283e+03	-3.269145e+01	2.036360e-03	2.046420e-17	2.036360e-03	-2.036360e-03
0.05          	4.111092e-03	-3.268943e+01	3.269355e+01	6.538298e+01	-1.312592e+03	1.377975e+03	-1.345284e+03	-3.269149e+01	2.055546e-03	2.046423e-17	2.055546e-03	-2.055546e-03
0.055         	4.147345e-03	-3.268969e+01	3.269383e+01	6.538352e+01	-1.312602e+03	1.377985e+03	-1.345294e+03	-3.269176e+01	2.073673e-03	2.046439e-17	2.073673e-03	-2.073673e-03
0.06          	4.200891e-03	-3.268955e+01	3.269375e+01	6.538329e+01	-1.312596e+03	1.377979e+03	-1.345287e+03	-3.269165e+01	2.100445e-03	2.046433e-17	2.100445e-03	-2.100445e-03
0.065         	4.249001e-03	-3.268954e+01	3.269379e+01	6.538332e+01	-1.312595e+03	1.377978e+03	-1.345287e+03	-3.269166e+01	2.124501e-03	2.046434e-17	2.124501e-03	-2.124501e-03
0.07          	4.295817e-03	-3.268953e+01	3.269383e+01	6.538336e+01	-1.312594e+03	1.377978e+03	-1.345286e+03	-3.269168e+01	2.147909e-03	2.046435e-17	2.147909e-03	-2.147909e-03
0.075         	4.342310e-03	-3.268955e+01	3.269389e+01	6.538343e+01	-1.312594e+03	1.377978e+03	-1.345286e+03	-3.269172e+01	2.171155e-03	2.046438e-17	2.171155e-03	-2.171155e-03
0.08          	4.386852e-03	-3.268955e+01	3.269393e+01	6.538348e+01	-1.312594e+03	1.377977e+03	-1.345286e+03	-3.269174e+01	2.193426e-03	2.046439e-17	2.193426e-03	-2.193426e-03
0.085         	4.426503e-03	-3.268956e+01	3.269399e+01	6.538355e+01	-1.312594e+03	1.377978e+03	-1.345286e+03	-3.269178e+01	2.213252e-03	2.046441e-17	2.213252e-03	-2.213252e-03
0.09          	4.466274e-03	-3.268955e+01	3.269402e+01	6.538356e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269178e+01	2.233137e-03	2.046442e-17	2.233137e-03	-2.233137e-03
0.095         	4.503008e-03	-3.268954e+01	3.269404e+01	6.538358e+01	-1.312593e+03	1.377976e+03	-1.345284e+03	-3.269179e+01	2.251504e-03	2.046443e-17	2.251504e-03	-2.251504e-03
0.1           	4.531273e-03	-3.268956e+01	3.269409e+01	6.538365e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269182e+01	2.265636e-03	2.046445e-17	2.265636e-03	-2.265636e-03
0.105         	4.559465e-03	-3.268957e+01	3.269413e+01	6.538370e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269185e+01	2.279732e-03	2.046447e-17	2.279732e-03	-2.279732e-03
0.11          	4.581782e-03	-3.268959e+01	3.269417e+01	6.538377e+01	-1.312594e+03	1.377978e+03	-1.345286e+03	-3.269188e+01	2.290891e-03	2.046449e-17	2.290891e-03	-2.290891e-03
0.115         	4.640813e-03	-3.268958e+01	3.269422e+01	6.538380e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269190e+01	2.320407e-03	2.046450e-17	2.320407e-03	-2.320407e-03
0.12          	4.660507e-03	-3.268959e+01	3.269425e+01	6.538384e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269192e+01	2.330254e-03	2.046451e-17	2.330254e-03	-2.330254e-03
0.125         	4.682641e-03	-3.268960e+01	3.269428e+01	6.538388e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269194e+01	2.341320e-03	2.046452e-17	2.341320e-03	-2.341320e-03
0.13          	4.703603e-03	-3.268960e+01	3.269431e+01	6.538391e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269195e+01	2.351802e-03	2.046453e-17	2.351802e-03	-2.351802e-03
0.135         	4.723036e-03	-3.268961e+01	3.269433e+01	6.538395e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269197e+01	2.361518e-03	2.046455e-17	2.361518e-03	-2.361518e-03
0.14          	4.739831e-03	-3.268962e+01	3.269436e+01	6.538398e+01	-1.312594e+03	1.377978e+03	-1.345286e+03	-3.269199e+01	2.369916e-03	2.046456e-17	2.369916e-03	-2.369916e-03
0.145         	4.754992e-03	-3.268962e+01	3.269437e+01	6.538399e+01	-1.312593e+03	1.377977e+03	-1.345285e+03	-3.269199e+01	2.377496e-03	2.046456e-17	2.377496e-03	-2.377496e-03
0.15          	4.766584e-03	-3.268966e+01	3.269442e+01	6.538408e+01	-1.312595e+03	1.377979e+03	-1.345287e+03	-3.269204e+01	2.383292e-03	2.046459e-17	2.383292e-03	-2.383292e-03
0.155         	4.778885e-03	-3.268967e+01	3.269444e+01	6.538411e+01	-1.312595e+03	1.377979e+03	-1.345287e+03	-3.269205e+01	2.389442e-03	2.046460e-17	2.389442e-03	-2.389442e-03
0.16          	4.789003e-03	-3.268966e+01	3.269445e+01	6.538411e+01	-1.312595e+03	1.377979e+03	-1.345287e+03	-3.269206e+01	2.394501e-03	2.046460e-17	2.394501e-03	-2.394501e-03
0.165         	4.796655e-03	-3.268965e+01	3.269444e+01	6.538409e+01	-1.312594e+03	1.377978e+03	-1.345286e+03	-3.269204e+01	2.398328e-03	2.046460e-17	2.398328e-03	-2.398328e-03
0.17          	4.804122e-03	-3.268967e+01	3.269447e+01	6.538414e+01	-1.312595e+03	1.377979e+03	-1.345287e+03	-3.269207e+01	2.402061e-03	2.046461e-17	2.402061e-03	-2.402061e-03
0.175         	4.809845e-03	-3.268971e+01	3.269452e+01	6.538423e+01	-1.312596e+03	1.377981e+03	-1.345289e+03	-3.269211e+01	2.404923e-03	2.046464e-17	2.404923e-03	-2.404923e-03
0.18          	4.816931e-03	-3.268969e+01	3.269451e+01	6.538420e+01	-1.312596e+03	1.377980e+03	-1.345288e+03	-3.269210e+01	2.408466e-03	2.046463e-17	2.408466e-03	-2.408466e-03
0.185         	4.820795e-03	-3.268970e+01	3.269452e+01	6.538422e+01	-1.312596e+03	1.377980e+03	-1.345288e+03	-3.269211e+01	2.410397e-03	2.046464e-17	2.410397e-03	-2.410397e-03
0.19          	4.822791e-03	-3.268970e+01	3.269453e+01	6.538423e+01	-1.312596e+03	1.377980e+03	-1.345288e+03	-3.269212e+01	2.411395e-03	2.046464e-17	2.411395e-03	-2.411395e-03
0.195         	4.822848e-03	-3.268970e+01	3.269452e+01	6.538423e+01	-1.312596e+03	1.377980e+03	-1.345288e+03	-3.269211e+01	2.411424e-03	2.046464e-17	2.411424e-03	-2.411424e-03
0.2           	4.828449e-03	-3.268971e+01	3.269454e+01	6.538426e+01	-1.312597e+03	1.377981e+03	-1.345289e+03	-3.269213e+01	2.414224e-03	2.046465e-17	2.414224e-03	-2.414224e-03
0.205         	4.827572e-03	-3.268974e+01	3.269457e+01	6.538431e+01	-1.312598e+03	1.377982e+03	-1.345290e+03	-3.269216e+01	2.413786e-03	2.046467e-17	2.413786e-03	-2.413786e-03
0.21          	4.827622e-03	-3.268976e+01	3.269459e+01	6.538435e+01	-1.312598e+03	1.377983e+03	-1.345291e+03	-3.269217e+01	2.413811e-03	2.046468e-17	2.413811e-03	-2.413811e-03
0.215         	4.826344e-03	-3.268978e+01	3.269460e+01	6.538438e+01	-1.312599e+03	1.377983e+03	-1.345291e+03	-3.269219e+01	2.413172e-03	2.046469e-17	2.413172e-03	-2.413172e-03
0.22          	4.825353e-03	-3.268978e+01	3.269461e+01	6.538439e+01	-1.312599e+03	1.377984e+03	-1.345291e+03	-3.269219e+01	2.412676e-03	2.046469e-17	2.412676e-03	-2.412676e-03
0.225         	4.825307e-03	-3.268980e+01	3.269463e+01	6.538443e+01	-1.312600e+03	1.377985e+03	-1.345292e+03	-3.269221e+01	2.412654e-03	2.046471e-17	2.412654e-03	-2.412654e-03
0.23          	4.822551e-03	-3.268981e+01	3.269464e+01	6.538445e+01	-1.312601e+03	1.377985e+03	-1.345293e+03	-3.269222e+01	2.411276e-03	2.046471e-17	2.411276e-03	-2.411276e-03
0.235         	4.820462e-03	-3.268985e+01	3.269467e+01	6.538451e+01	-1.312602e+03	1.377986e+03	-1.345294e+03	-3.269226e+01	2.410231e-03	2.046473e-17	2.410231e-03	-2.410231e-03
0.24          	4.814081e-03	-3.268980e+01	3.269462e+01	6.538442e+01	-1.312600e+03	1.377985e+03	-1.345293e+03	-3.269221e+01	2.407040e-03	2.046471e-17	2.407040e-03	-2.407040e-03
0.245         	4.813198e-03	-3.268982e+01	3.269464e+01	6.538446e+01	-1.312601e+03	1.377986e+03	-1.345293e+03	-3.269223e+01	2.406599e-03	2.046472e-17	2.406599e-03	-2.406599e-03
0.25          	4.809771e-03	-3.268985e+01	3.269466e+01	6.538452e+01	-1.312602e+03	1.377987e+03	-1.345295e+03	-3.269226e+01	2.404886e-03	2.046474e-17	2.404886e-03	-2.404886e-03
0.255         	4.805049e-03	-3.268986e+01	3.269467e+01	6.538453e+01	-1.312603e+03	1.377987e+03	-1.345295e+03	-3.269227e+01	2.402525e-03	2.046474e-17	2.402525e-03	-2.402525e-03
0.26          	4.801086e-03	-3.268986e+01	3.269466e+01	6.538452e+01	-1.312603e+03	1.377987e+03	-1.345295e+03	-3.269226e+01	2.400543e-03	2.046474e-17	2.400543e-03	-2.400543e-03
0.265         	4.797080e-03	-3.268988e+01	3.269468e+01	6.538455e+01	-1.312604e+03	1.377988e+03	-1.345296e+03	-3.269228e+01	2.398540e-03	2.046475e-17	2.398540e-03	-2.398540e-03
0.27          	4.789083e-03	-3.268992e+01	3.269470e+01	6.538462e+01	-1.312605e+03	1.377990e+03	-1.345297e+03	-3.269231e+01	2.394542e-03	2.046477e-17	2.394542e-03	-2.394542e-03
0.275         	4.780252e-03	-3.268986e+01	3.269464e+01	6.538450e+01	-1.312603e+03	1.377988e+03	-1.345295e+03	-3.269225e+01	2.390126e-03	2.046473e-17	2.390126e-03	-2.390126e-03
0.28          	4.775290e-03	-3.268989e+01	3.269467e+01	6.538456e+01	-1.312604e+03	1.377989e+03	-1.345296e+03	-3.269228e+01	2.387645e-03	2.046475e-17	2.387645e-03	-2.387645e-03
0.285         	4.769884e-03	-3.268988e+01	3.269465e+01	6.538453e+01	-1.312604e+03	1.377988e+03	-1.345296e+03	-3.269227e+01	2.384942e-03	2.046474e-17	2.384942e-03	-2.384942e-03
0.29          	4.763725e-03	-3.268990e+01	3.269467e+01	6.538457e+01	-1.312605e+03	1.377989e+03	-1.345297e+03	-3.269228e+01	2.381863e-03	2.046475e-17	2.381863e-03	-2.381863e-03
0.295         	4.756515e-03	-3.268992e+01	3.269468e+01	6.538461e+01	-1.312606e+03	1.377990e+03	-1.345298e+03	-3.269230e+01	2.378258e-03	2.046477e-17	2.378258e-03	-2.378258e-03
