# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
40.005        	-1.521168e+02	5.781546e+01	-2.099323e+02	-2.677477e+02	8.834239e+02	-1.151172e+03	1.017298e+03	1.338739e+02	-7.605840e+01	-6.786806e-17	-7.605840e+01	7.605840e+01
40.01         	-1.867072e+02	5.114470e+01	-2.378519e+02	-2.889966e+02	2.644481e+02	-5.534447e+02	4.089464e+02	1.444983e+02	-9.335362e+01	-7.334108e-17	-9.335362e+01	9.335362e+01
40.015        	-1.960686e+02	5.433108e+01	-2.503997e+02	-3.047308e+02	2.955955e+02	-6.003263e+02	4.479609e+02	1.523654e+02	-9.803432e+01	-7.779534e-17	-9.803432e+01	9.803432e+01
40.02         	-2.522152e+02	-3.024117e+01	-2.219740e+02	-1.917328e+02	-3.721072e+03	3.529339e+03	-3.625205e+03	9.586641e+01	-1.261076e+02	-4.701764e-17	-1.261076e+02	1.261076e+02
40.025        	-2.328742e+02	-8.855588e+00	-2.240186e+02	-2.151630e+02	-2.643615e+03	2.428452e+03	-2.536033e+03	1.075815e+02	-1.164371e+02	-5.312386e-17	-1.164371e+02	1.164371e+02
40.03         	-2.060630e+02	2.926633e+01	-2.353294e+02	-2.645957e+02	-8.117337e+02	5.471380e+02	-6.794358e+02	1.322978e+02	-1.030315e+02	-6.636852e-17	-1.030315e+02	1.030315e+02
40.035        	-1.436447e+02	3.495787e+01	-1.786026e+02	-2.135605e+02	3.853977e+01	-2.521002e+02	1.453200e+02	1.067802e+02	-7.182236e+01	-5.314255e-17	-7.182236e+01	7.182236e+01
40.04         	-1.122801e+02	7.444274e+00	-1.197243e+02	-1.271686e+02	-7.741046e+02	6.469360e+02	-7.105203e+02	6.358431e+01	-5.614004e+01	-2.988807e-17	-5.614004e+01	5.614004e+01
40.045        	-9.028164e+01	4.336547e+01	-1.336471e+02	-1.770126e+02	9.145607e+02	-1.091573e+03	1.003067e+03	8.850629e+01	-4.514082e+01	-4.341524e-17	-4.514082e+01	4.514082e+01
40.05         	-9.076909e+01	9.965243e+01	-1.904215e+02	-2.900740e+02	3.216218e+03	-3.506292e+03	3.361255e+03	1.450370e+02	-4.538455e+01	-7.376324e-17	-4.538455e+01	4.538455e+01
40.055        	-8.879891e+01	1.045516e+02	-1.933505e+02	-2.979021e+02	3.440002e+03	-3.737904e+03	3.588953e+03	1.489510e+02	-4.439946e+01	-7.582316e-17	-4.439946e+01	4.439946e+01
40.06         	-1.466482e+02	3.484502e+01	-1.814933e+02	-2.163383e+02	3.579882e+00	-2.199182e+02	1.117490e+02	1.081691e+02	-7.332412e+01	-5.358601e-17	-7.332412e+01	7.332412e+01
40.065        	-1.883766e+02	6.648863e+00	-1.950255e+02	-2.016743e+02	-1.574346e+03	1.372672e+03	-1.473509e+03	1.008372e+02	-9.418830e+01	-4.964437e-17	-9.418830e+01	9.418830e+01
40.07         	-2.137819e+02	-7.830224e+00	-2.059517e+02	-1.981215e+02	-2.421720e+03	2.223599e+03	-2.322660e+03	9.906074e+01	-1.068910e+02	-4.876716e-17	-1.068910e+02	1.068910e+02
40.075        	-1.596170e+02	5.739724e+01	-2.170143e+02	-2.744115e+02	7.937979e+02	-1.068209e+03	9.310037e+02	1.372058e+02	-7.980852e+01	-6.938899e-17	-7.980852e+01	7.980852e+01
40.08         	-9.978338e+01	7.011443e+01	-1.698978e+02	-2.400122e+02	1.913097e+03	-2.153109e+03	2.033103e+03	1.200061e+02	-4.989169e+01	-6.040344e-17	-4.989169e+01	4.989169e+01
40.085        	-6.950985e+01	7.070742e+01	-1.402173e+02	-2.109247e+02	2.251965e+03	-2.462890e+03	2.357428e+03	1.054623e+02	-3.475493e+01	-5.224248e-17	-3.475493e+01	3.475493e+01
40.09         	-8.334442e+01	6.473337e+01	-1.480778e+02	-2.128112e+02	1.871979e+03	-2.084790e+03	1.978384e+03	1.064056e+02	-4.167221e+01	-5.256121e-17	-4.167221e+01	4.167221e+01
40.095        	-3.463482e+01	1.032434e+02	-1.378782e+02	-2.411216e+02	3.937196e+03	-4.178318e+03	4.057757e+03	1.205608e+02	-1.731741e+01	-6.018429e-17	-1.731741e+01	1.731741e+01
40.1          	-9.529384e+01	2.805854e+01	-1.233524e+02	-1.514109e+02	2.558436e+02	-4.072545e+02	3.315490e+02	7.570547e+01	-4.764692e+01	-3.590138e-17	-4.764692e+01	4.764692e+01
40.105        	-4.402910e+01	9.073293e+01	-1.347620e+02	-2.254950e+02	3.331412e+03	-3.556907e+03	3.444159e+03	1.127475e+02	-2.201455e+01	-5.631383e-17	-2.201455e+01	2.201455e+01
40.11         	-5.692084e+01	7.207275e+01	-1.289936e+02	-2.010663e+02	2.439084e+03	-2.640150e+03	2.539617e+03	1.005332e+02	-2.846042e+01	-4.960592e-17	-2.846042e+01	2.846042e+01
40.115        	-7.564807e+01	7.260374e+01	-1.482518e+02	-2.208556e+02	2.264271e+03	-2.485126e+03	2.374699e+03	1.104278e+02	-3.782404e+01	-5.500449e-17	-3.782404e+01	3.782404e+01
40.12         	-7.717877e+01	8.438884e+01	-1.615676e+02	-2.459564e+02	2.725185e+03	-2.971142e+03	2.848163e+03	1.229782e+02	-3.858938e+01	-6.185881e-17	-3.858938e+01	3.858938e+01
40.125        	-9.919678e+01	8.041818e+01	-1.796150e+02	-2.600332e+02	2.338832e+03	-2.598865e+03	2.468848e+03	1.300166e+02	-4.959839e+01	-6.564320e-17	-4.959839e+01	4.959839e+01
40.13         	-1.309885e+02	7.056140e+01	-2.015499e+02	-2.721113e+02	1.611344e+03	-1.883455e+03	1.747400e+03	1.360556e+02	-6.549423e+01	-6.892685e-17	-6.549423e+01	6.549423e+01
40.135        	-1.441566e+02	5.796382e+01	-2.021204e+02	-2.600843e+02	9.601026e+02	-1.220187e+03	1.090145e+03	1.300421e+02	-7.207831e+01	-6.580898e-17	-7.207831e+01	7.207831e+01
40.14         	-1.524879e+02	4.683719e+01	-1.993251e+02	-2.461623e+02	4.221327e+02	-6.682950e+02	5.452138e+02	1.230812e+02	-7.624397e+01	-6.198846e-17	-7.624397e+01	7.624397e+01
40.145        	-1.821874e+02	2.387058e+01	-2.060580e+02	-2.299286e+02	-8.207630e+02	5.908345e+02	-7.057988e+02	1.149643e+02	-9.109370e+01	-5.751223e-17	-9.109370e+01	9.109370e+01
40.15         	-1.568924e+02	1.267776e+01	-1.695701e+02	-1.822479e+02	-1.021120e+03	8.388717e+02	-9.299956e+02	9.112394e+01	-7.844618e+01	-4.455320e-17	-7.844618e+01	7.844618e+01
